№,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
33,Bernardo Silva,Manchester City,35,2865,8,4,7.77-0.23,6.57+2.57,0.24,0.21
34,Kai Havertz,Chelsea,29,1829,8,3,10.67+2.67,2.57-0.43,0.53,0.13
35,Gabriel Jesus,Manchester City,28,1885,8,8,10.15+2.15,5.91-2.09,0.48,0.28
36,Leandro Trossard,Brighton,34,2830,8,3,7.96-0.04,5.28+2.28,0.25,0.17
37,Jack Harrison,Leeds,35,2660,8,1,5.15-2.85,3.45+2.45,0.17,0.12
38,Conor Gallagher,Crystal Palace,34,2863,8,3,7.67-0.33,4.14+1.14,0.24,0.13
39,Danny Ings,Aston Villa,30,1920,7,6,6.85-0.15,1.44-4.56,0.32,0.07
40,Rodri,Manchester City,33,2901,7,2,2.72-4.28,1.55-0.45,0.08,0.05
41,Martin Odegaard,Arsenal,36,2803,7,4,4.22-2.78,6.60+2.60,0.14,0.21
42,Yoane Wissa,Brentford,30,1230,7,1,3.40-3.60,0.67-0.33,0.25,0.05
43,Che Adams,Southampton,30,2039,7,3,8.29+1.29,2.85-0.15,0.37,0.13
44,Danny Welbeck,Brighton,25,1464,6,1,8.29+2.29,0.89-0.11,0.51,0.06
45,Jorginho,Chelsea,29,2285,6,2,5.91-0.09,2.89+0.89,0.23,0.11
46,Pablo Fornals,West Ham,36,2805,6,3,5.14-0.86,5.97+2.97,0.16,0.19
